87	101	22	139	152	139	87	25
174	51	109	13	239	13	174	127
261	101	196	139	326	139	261	25
348	51	283	13	413	13	348	127
435	101	370	139	500	139	435	25
522	51	457	13	587	13	522	127
609	101	544	139	674	139	609	25
696	51	631	13	761	13	696	127
783	101	718	139	848	139	783	25
870	51	805	13	935	13	870	127
957	101	892	139	1022	139	957	25
1044	51	979	13	1109	13	1044	127
1131	101	1066	139	1196	139	1131	25
1218	51	1153	13	1283	13	1218	127
1305	101	1240	139	1370	139	1305	25
1392	51	1327	13	1457	13	1392	127
1479	101	1414	139	1544	139	1479	25
1566	51	1501	13	1631	13	1566	127
1653	101	1588	139	1718	139	1653	25
1740	51	1675	13	1805	13	1740	127
1827	101	1762	139	1892	139	1827	25
1914	51	1849	13	1979	13	1914	127
2001	101	1936	139	2066	139	2001	25
2088	51	2023	13	2153	13	2088	127
2175	101	2110	139	2240	139	2175	25
2262	51	2197	13	2327	13	2262	127
2349	101	2284	139	2414	139	2349	25
2436	51	2371	13	2501	13	2436	127
2523	101	2458	139	2588	139	2523	25
2610	51	2545	13	2675	13	2610	127
2697	101	2632	139	2762	139	2697	25
87	202	22	164	152	164	87	278
174	252	109	290	239	290	174	176
261	202	196	164	326	164	261	278
348	252	283	290	413	290	348	176
435	202	370	164	500	164	435	278
522	252	457	290	587	290	522	176
609	202	544	164	674	164	609	278
696	252	631	290	761	290	696	176
783	202	718	164	848	164	783	278
870	252	805	290	935	290	870	176
957	202	892	164	1022	164	957	278
1044	252	979	290	1109	290	1044	176
1131	202	1066	164	1196	164	1131	278
1218	252	1153	290	1283	290	1218	176
1305	202	1240	164	1370	164	1305	278
1392	252	1327	290	1457	290	1392	176
1479	202	1414	164	1544	164	1479	278
1566	252	1501	290	1631	290	1566	176
1653	202	1588	164	1718	164	1653	278
1740	252	1675	290	1805	290	1740	176
1827	202	1762	164	1892	164	1827	278
1914	252	1849	290	1979	290	1914	176
2001	202	1936	164	2066	164	2001	278
2088	252	2023	290	2153	290	2088	176
2175	202	2110	164	2240	164	2175	278
2262	252	2197	290	2327	290	2262	176
2349	202	2284	164	2414	164	2349	278
2436	252	2371	290	2501	290	2436	176
2523	202	2458	164	2588	164	2523	278
2610	252	2545	290	2675	290	2610	176
2697	202	2632	164	2762	164	2697	278
87	403	22	441	152	441	87	327
174	353	109	315	239	315	174	429
261	403	196	441	326	441	261	327
348	353	283	315	413	315	348	429
435	403	370	441	500	441	435	327
522	353	457	315	587	315	522	429
609	403	544	441	674	441	609	327
696	353	631	315	761	315	696	429
783	403	718	441	848	441	783	327
870	353	805	315	935	315	870	429
957	403	892	441	1022	441	957	327
1044	353	979	315	1109	315	1044	429
1131	403	1066	441	1196	441	1131	327
1218	353	1153	315	1283	315	1218	429
1305	403	1240	441	1370	441	1305	327
1392	353	1327	315	1457	315	1392	429
1479	403	1414	441	1544	441	1479	327
1566	353	1501	315	1631	315	1566	429
1653	403	1588	441	1718	441	1653	327
1740	353	1675	315	1805	315	1740	429
1827	403	1762	441	1892	441	1827	327
1914	353	1849	315	1979	315	1914	429
2001	403	1936	441	2066	441	2001	327
2088	353	2023	315	2153	315	2088	429
2175	403	2110	441	2240	441	2175	327
2262	353	2197	315	2327	315	2262	429
2349	403	2284	441	2414	441	2349	327
2436	353	2371	315	2501	315	2436	429
2523	403	2458	441	2588	441	2523	327
2610	353	2545	315	2675	315	2610	429
2697	403	2632	441	2762	441	2697	327
87	504	22	466	152	466	87	580
174	554	109	592	239	592	174	478
261	504	196	466	326	466	261	580
348	554	283	592	413	592	348	478
435	504	370	466	500	466	435	580
522	554	457	592	587	592	522	478
609	504	544	466	674	466	609	580
696	554	631	592	761	592	696	478
783	504	718	466	848	466	783	580
870	554	805	592	935	592	870	478
957	504	892	466	1022	466	957	580
1044	554	979	592	1109	592	1044	478
1131	504	1066	466	1196	466	1131	580
1218	554	1153	592	1283	592	1218	478
1305	504	1240	466	1370	466	1305	580
1392	554	1327	592	1457	592	1392	478
1479	504	1414	466	1544	466	1479	580
1566	554	1501	592	1631	592	1566	478
1653	504	1588	466	1718	466	1653	580
1740	554	1675	592	1805	592	1740	478
1827	504	1762	466	1892	466	1827	580
1914	554	1849	592	1979	592	1914	478
2001	504	1936	466	2066	466	2001	580
2088	554	2023	592	2153	592	2088	478
2175	504	2110	466	2240	466	2175	580
2262	554	2197	592	2327	592	2262	478
2349	504	2284	466	2414	466	2349	580
2436	554	2371	592	2501	592	2436	478
2523	504	2458	466	2588	466	2523	580
2610	554	2545	592	2675	592	2610	478
2697	504	2632	466	2762	466	2697	580
87	705	22	743	152	743	87	629
174	655	109	617	239	617	174	731
261	705	196	743	326	743	261	629
348	655	283	617	413	617	348	731
435	705	370	743	500	743	435	629
522	655	457	617	587	617	522	731
609	705	544	743	674	743	609	629
696	655	631	617	761	617	696	731
783	705	718	743	848	743	783	629
870	655	805	617	935	617	870	731
957	705	892	743	1022	743	957	629
1044	655	979	617	1109	617	1044	731
1131	705	1066	743	1196	743	1131	629
1218	655	1153	617	1283	617	1218	731
1305	705	1240	743	1370	743	1305	629
1392	655	1327	617	1457	617	1392	731
1479	705	1414	743	1544	743	1479	629
1566	655	1501	617	1631	617	1566	731
1653	705	1588	743	1718	743	1653	629
1740	655	1675	617	1805	617	1740	731
1827	705	1762	743	1892	743	1827	629
1914	655	1849	617	1979	617	1914	731
2001	705	1936	743	2066	743	2001	629
2088	655	2023	617	2153	617	2088	731
2175	705	2110	743	2240	743	2175	629
2262	655	2197	617	2327	617	2262	731
2349	705	2284	743	2414	743	2349	629
2436	655	2371	617	2501	617	2436	731
2523	705	2458	743	2588	743	2523	629
2610	655	2545	617	2675	617	2610	731
2697	705	2632	743	2762	743	2697	629
87	806	22	768	152	768	87	882
174	856	109	894	239	894	174	780
261	806	196	768	326	768	261	882
348	856	283	894	413	894	348	780
435	806	370	768	500	768	435	882
522	856	457	894	587	894	522	780
609	806	544	768	674	768	609	882
696	856	631	894	761	894	696	780
783	806	718	768	848	768	783	882
870	856	805	894	935	894	870	780
957	806	892	768	1022	768	957	882
1044	856	979	894	1109	894	1044	780
1131	806	1066	768	1196	768	1131	882
1218	856	1153	894	1283	894	1218	780
1305	806	1240	768	1370	768	1305	882
1392	856	1327	894	1457	894	1392	780
1479	806	1414	768	1544	768	1479	882
1566	856	1501	894	1631	894	1566	780
1653	806	1588	768	1718	768	1653	882
1740	856	1675	894	1805	894	1740	780
1827	806	1762	768	1892	768	1827	882
1914	856	1849	894	1979	894	1914	780
2001	806	1936	768	2066	768	2001	882
2088	856	2023	894	2153	894	2088	780
2175	806	2110	768	2240	768	2175	882
2262	856	2197	894	2327	894	2262	780
2349	806	2284	768	2414	768	2349	882
2436	856	2371	894	2501	894	2436	780
2523	806	2458	768	2588	768	2523	882
2610	856	2545	894	2675	894	2610	780
2697	806	2632	768	2762	768	2697	882
87	1007	22	1045	152	1045	87	931
174	957	109	919	239	919	174	1033
261	1007	196	1045	326	1045	261	931
348	957	283	919	413	919	348	1033
435	1007	370	1045	500	1045	435	931
522	957	457	919	587	919	522	1033
609	1007	544	1045	674	1045	609	931
696	957	631	919	761	919	696	1033
783	1007	718	1045	848	1045	783	931
870	957	805	919	935	919	870	1033
957	1007	892	1045	1022	1045	957	931
1044	957	979	919	1109	919	1044	1033
1131	1007	1066	1045	1196	1045	1131	931
1218	957	1153	919	1283	919	1218	1033
1305	1007	1240	1045	1370	1045	1305	931
1392	957	1327	919	1457	919	1392	1033
1479	1007	1414	1045	1544	1045	1479	931
1566	957	1501	919	1631	919	1566	1033
1653	1007	1588	1045	1718	1045	1653	931
1740	957	1675	919	1805	919	1740	1033
1827	1007	1762	1045	1892	1045	1827	931
1914	957	1849	919	1979	919	1914	1033
2001	1007	1936	1045	2066	1045	2001	931
2088	957	2023	919	2153	919	2088	1033
2175	1007	2110	1045	2240	1045	2175	931
2262	957	2197	919	2327	919	2262	1033
2349	1007	2284	1045	2414	1045	2349	931
2436	957	2371	919	2501	919	2436	1033
2523	1007	2458	1045	2588	1045	2523	931
2610	957	2545	919	2675	919	2610	1033
2697	1007	2632	1045	2762	1045	2697	931
87	1108	22	1070	152	1070	87	1184
174	1158	109	1196	239	1196	174	1082
261	1108	196	1070	326	1070	261	1184
348	1158	283	1196	413	1196	348	1082
435	1108	370	1070	500	1070	435	1184
522	1158	457	1196	587	1196	522	1082
609	1108	544	1070	674	1070	609	1184
696	1158	631	1196	761	1196	696	1082
783	1108	718	1070	848	1070	783	1184
870	1158	805	1196	935	1196	870	1082
957	1108	892	1070	1022	1070	957	1184
1044	1158	979	1196	1109	1196	1044	1082
1131	1108	1066	1070	1196	1070	1131	1184
1218	1158	1153	1196	1283	1196	1218	1082
1305	1108	1240	1070	1370	1070	1305	1184
1392	1158	1327	1196	1457	1196	1392	1082
1479	1108	1414	1070	1544	1070	1479	1184
1566	1158	1501	1196	1631	1196	1566	1082
1653	1108	1588	1070	1718	1070	1653	1184
1740	1158	1675	1196	1805	1196	1740	1082
1827	1108	1762	1070	1892	1070	1827	1184
1914	1158	1849	1196	1979	1196	1914	1082
2001	1108	1936	1070	2066	1070	2001	1184
2088	1158	2023	1196	2153	1196	2088	1082
2175	1108	2110	1070	2240	1070	2175	1184
2262	1158	2197	1196	2327	1196	2262	1082
2349	1108	2284	1070	2414	1070	2349	1184
2436	1158	2371	1196	2501	1196	2436	1082
2523	1108	2458	1070	2588	1070	2523	1184
2610	1158	2545	1196	2675	1196	2610	1082
2697	1108	2632	1070	2762	1070	2697	1184
87	1309	22	1347	152	1347	87	1233
174	1259	109	1221	239	1221	174	1335
261	1309	196	1347	326	1347	261	1233
348	1259	283	1221	413	1221	348	1335
435	1309	370	1347	500	1347	435	1233
522	1259	457	1221	587	1221	522	1335
609	1309	544	1347	674	1347	609	1233
696	1259	631	1221	761	1221	696	1335
783	1309	718	1347	848	1347	783	1233
870	1259	805	1221	935	1221	870	1335
957	1309	892	1347	1022	1347	957	1233
1044	1259	979	1221	1109	1221	1044	1335
1131	1309	1066	1347	1196	1347	1131	1233
1218	1259	1153	1221	1283	1221	1218	1335
1305	1309	1240	1347	1370	1347	1305	1233
1392	1259	1327	1221	1457	1221	1392	1335
1479	1309	1414	1347	1544	1347	1479	1233
1566	1259	1501	1221	1631	1221	1566	1335
1653	1309	1588	1347	1718	1347	1653	1233
1740	1259	1675	1221	1805	1221	1740	1335
1827	1309	1762	1347	1892	1347	1827	1233
1914	1259	1849	1221	1979	1221	1914	1335
2001	1309	1936	1347	2066	1347	2001	1233
2088	1259	2023	1221	2153	1221	2088	1335
2175	1309	2110	1347	2240	1347	2175	1233
2262	1259	2197	1221	2327	1221	2262	1335
2349	1309	2284	1347	2414	1347	2349	1233
2436	1259	2371	1221	2501	1221	2436	1335
2523	1309	2458	1347	2588	1347	2523	1233
2610	1259	2545	1221	2675	1221	2610	1335
2697	1309	2632	1347	2762	1347	2697	1233
87	1410	22	1372	152	1372	87	1486
174	1460	109	1498	239	1498	174	1384
261	1410	196	1372	326	1372	261	1486
348	1460	283	1498	413	1498	348	1384
435	1410	370	1372	500	1372	435	1486
522	1460	457	1498	587	1498	522	1384
609	1410	544	1372	674	1372	609	1486
696	1460	631	1498	761	1498	696	1384
783	1410	718	1372	848	1372	783	1486
870	1460	805	1498	935	1498	870	1384
957	1410	892	1372	1022	1372	957	1486
1044	1460	979	1498	1109	1498	1044	1384
